Files	Type	qPCR_experiment	qPCR_run	annotation_status	annotation_reason
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_03 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_03 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_23082021_03.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_24082021_01 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_24082021_01 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_24082021_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_01 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_01 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_02 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_02 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_02.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_03 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_03 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_26082021_03.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_01 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_01 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_01.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_02 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_02 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_02.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_03 - Abs Quant.txt	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_03 - Abs Quant.xlsx	summary	whi5 and whi7		unresolved	no qPCR run folder
qpcr/whi5 and whi7/Yagya_whi7_whi5_act1_rdn18_cDNA_27082021_03.lc96p	qPCR output	whi5 and whi7		unresolved	no qPCR run folder
qpcr/Whi7/whi7 in whi5del summary.xlsx	summary	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721 - Abs Quant.txt	qPCR output	Whi7		unresolved	no qPCR run folder
qpcr/Whi7/Yagya_whi7_act1_rdn18_cDNA_070721 - Abs Quant.xlsx	summary	Whi7		unresolved	no qPCR run folder
